127.0.0.1 - - [18/Mar/2022:10:46:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:46:51 +0530] "GET /StudentApp/searchStudentForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:46:54 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:47:35 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:04:36 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:07:45 +0530] "GET /StudentApp/searchStudent?id=10 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:09:30 +0530] "GET /StudentApp/search?id=++++10 HTTP/1.1" 500 1769
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:13:17 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:16:50 +0530] "GET /StudentApp/searchStud?id=10 HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:26:42 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:28:08 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:29:00 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:29:39 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:11:30:31 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:40:24 +0530] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:41:16 +0530] "GET /WebURLDemo/s1 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:45:06 +0530] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:45:14 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:45:27 +0530] "GET /WebURLDemo/s1 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:47:59 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:47:59 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:47:59 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:47:59 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:47:59 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:48:00 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:48:07 +0530] "GET /WebURLDemo/s1?nm=aasfa HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:49:03 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:49:03 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:49:04 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:49:09 +0530] "GET /WebURLDemo/s1?nm=aasfa HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:50:09 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:50:09 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:50:09 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:50:10 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:12:50:18 +0530] "POST /WebURLDemo/s1 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [18/Mar/2022:13:03:06 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [18/Mar/2022:13:03:06 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:13:03:07 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:13:03:07 +0530] "GET /WebURLDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:13:03:20 +0530] "GET /WebURLDemo/s1?nm=sfsdfsdfds HTTP/1.1" 200 70
